FileName;Image width [pix];Image height [pix];Block size N;Relative share hemorrhage;Relative share scar;Relative share necrosis;Relative share squeezed tissue;Relative share preexisting brain parenchyme;Relative share tumor;Relative share background;Area total [mm²];Area hemorrhage [mm²];Area scar [mm²];Area necrosis [mm²];Area squeezed tissue [mm²];Area preexisting brain parenchyme [mm²];Area tumor [mm²];Area background [mm²];Mean Nuclei # Necrosis;Mean Nuclei # Tumor;Mean Nuclei # Whole;Mean Nuclei # Scars;Mean Nuclei # Preexisting;Mean AVG Area Necrosis;Mean AVG Area Tumor;Mean AVG Area Whole;Mean AVG Area Scars;Mean AVG Area Preexisting;Mean STD Area Necrosis;Mean STD Area Tumor;Mean STD Area Whole;Mean STD Area Scars;Mean STD Area Preexisting;Mean COV Area Necrosis;Mean COV Area Tumor;Mean COV Area Whole;Mean COV Area Scars;Mean COV Area Preexisting;Mean AVG Eccentricity Necrosis;Mean AVG Eccentricity Tumor;Mean AVG Eccentricity Whole;Mean AVG Eccentricity Scars;Mean AVG Eccentricity Preexisting;Mean STD Eccentricity Necrosis;Mean STD Eccentricity Tumor;Mean STD Eccentricity Whole;Mean STD Eccentricity Scars;Mean STD Eccentricity Preexisting;Mean COV Eccentricity Necrosis;Mean COV Eccentricity Tumor;Mean COV Eccentricity Whole;Mean COV Eccentricity Scars;Mean COV Eccentricity Preexisting;Median Nuclei # Necrosis;Median Nuclei # Tumor;Median Nuclei # Whole;Median Nuclei # Scars;Median Nuclei # Preexisting;Median AVG Area Necrosis;Median AVG Area Tumor;Median AVG Area Whole;Median AVG Area Scars;Median AVG Area Preexisting;Median STD Area Necrosis;Median STD Area Tumor;Median STD Area Whole;Median STD Area Scars;Median STD Area Preexisting;Median COV Area Necrosis;Median COV Area Tumor;Median COV Area Whole;Median COV Area Scars;Median COV Area Preexisting;Median AVG Eccentricity Necrosis;Median AVG Eccentricity Tumor;Median AVG Eccentricity Whole;Median AVG Eccentricity Scars;Median AVG Eccentricity Preexisting;Median STD Eccentricity Necrosis;Median STD Eccentricity Tumor;Median STD Eccentricity Whole;Median STD Eccentricity Scars;Median STD Eccentricity Preexisting;Median COV Eccentricity Necrosis;Median COV Eccentricity Tumor;Median COV Eccentricity Whole;Median COV Eccentricity Scars;Median COV Eccentricity Preexisting;Mode Nuclei # Necrosis;Mode Nuclei # Tumor;Mode Nuclei # Whole;Mode Nuclei # Scars;Mode Nuclei # Preexisting;Mode AVG Area Necrosis;Mode AVG Area Tumor;Mode AVG Area Whole;Mode AVG Area Scars;Mode AVG Area Preexisting;Mode STD Area Necrosis;Mode STD Area Tumor;Mode STD Area Whole;Mode STD Area Scars;Mode STD Area Preexisting
N918-15 HE - 2016-01-08 17.16.00;12288;13632;160;0.002906602;0.049307028;0.000251466;0.005325723;0;0.160345433;0.781863748;139.3254507;0.404963677;6.86972386;0.035035553;0.742008803;0;22.34019969;108.9335192;-1;4185.525308;3996.283773;3549.500586;-1;-1;35.38686755;36.53360259;39.79271552;-1;-1;20.44620584;22.57356255;28.59315048;-1;-1;0.573014352;0.607373005;0.701702789;-1;-1;0.68544802;0.698107481;0.730303252;-1;-1;0.1615727;0.158165525;0.149384043;-1;-1;0.237203611;0.22822944;0.205287152;-1;-1;4179.846804;4085.917662;3569.307383;-1;-1;35.1231738;36.227072;38.62784941;-1;-1;19.82818198;21.41899066;26.04959694;-1;-1;0.561422051;0.588632892;0.677079671;-1;-1;0.685421067;0.701229454;0.733270566;-1;-1;0.161869392;0.158083215;0.147589267;-1;-1;0.236652284;0.22607447;0.202764652;-1;-1;3900;3900;4700;-1;-1;34;34;37;-1;-1;18;20;22;-1
N960-03 HE;19456;19840;160;0.020575311;0;0;0;0;0.338131675;0.641293014;321.0590395;6.605889673;0;0;0;0;108.5602308;205.892919;-1;3241.942526;3241.942526;-1;-1;-1;20.98569804;20.98569804;-1;-1;-1;11.73032108;11.73032108;-1;-1;-1;0.542850916;0.542850916;-1;-1;-1;0.684419939;0.684419939;-1;-1;-1;0.138815394;0.138815394;-1;-1;-1;0.203517797;0.203517797;-1;-1;-1;3193.590816;3193.590816;-1;-1;-1;21.68901964;21.68901964;-1;-1;-1;12.04333016;12.04333016;-1;-1;-1;0.54797459;0.54797459;-1;-1;-1;0.687960548;0.687960548;-1;-1;-1;0.141655592;0.141655592;-1;-1;-1;0.204457445;0.204457445;-1;-1;-1;3100;3100;-1;-1;-1;24;24;-1;-1;-1;13;13;-1;-1
N969-08 HE - 2016-01-08 19.06.01;23552;23168;160;0.039096512;0;0.242104312;0;0.010969644;0.329287428;0.378542104;453.8433893;17.74369373;0;109.8774413;0;4.978500194;149.4449223;171.7988317;1045.219491;4528.585281;2901.213686;-1;2128.38825;23.98002011;37.33522983;31.41897795;-1;34.24710781;13.88772127;25.07598737;20.15632382;-1;19.85398439;0.53220927;0.663623706;0.607903842;-1;0.579488447;0.662262642;0.710926888;0.689927257;-1;0.686787671;0.133544421;0.152700525;0.144756221;-1;0.158525514;0.204298461;0.216166737;0.211510204;-1;0.232566036;610.5394208;4743.421654;2583.051396;-1;2019.476546;23.09305226;37.03937967;31.329024;-1;35.27350691;12.66007049;24.90615736;20.31848666;-1;19.57127452;0.551777171;0.660797421;0.633104214;-1;0.569402988;0.669154653;0.717688353;0.702324038;-1;0.689433139;0.142478055;0.151741006;0.149560847;-1;0.156897864;0.208042733;0.212187042;0.211516073;-1;0.231428104;47;5400;47;-1;1600;23;36;36;-1;33;0;26;21;-1;20
N986-07A - 2016-03-07 11.06.22;26624;23040;160;3.16E-05;0;0.343430077;0;0;0.243399698;0.413138667;510.205876;0.0161009;0;175.2200434;0;0;124.1839563;210.7857754;1881.83566;4991.582446;3102.996916;-1;-1;21.84906748;36.26928876;27.46039155;-1;-1;12.48849393;23.33656519;16.71103612;-1;-1;0.553702885;0.636302268;0.586272322;-1;-1;0.68226103;0.721492523;0.697630656;-1;-1;0.138685256;0.150085306;0.143328735;-1;-1;0.205840801;0.208614301;0.207165834;-1;-1;1127.1497;4978.244508;3193.590816;-1;-1;20.37178697;35.61457021;26.58771494;-1;-1;11.11128908;22.36745307;15.75819268;-1;-1;0.560350084;0.632046508;0.598382748;-1;-1;0.688616528;0.722837656;0.705780923;-1;-1;0.14048587;0.149649449;0.145908642;-1;-1;0.202291171;0.207000198;0.205156281;-1;-1;280;4600;4600;-1;-1;18;33;18;-1;-1;11;20;11;-1;-1
N986-07C - 2016-03-07 10.59.35;22528;19840;160;0.021848252;0;0.182628999;0;0;0.291843589;0.50367916;371.752572;8.122144014;0;67.89279993;0;0;108.4936048;187.2440233;2637.570282;5409.074589;4229.225081;-1;-1;22.63149831;32.52785719;28.3531864;-1;-1;13.79420528;21.08367439;18.01574721;-1;-1;0.596585173;0.644642379;0.624822868;-1;-1;0.68193323;0.715006254;0.700891558;-1;-1;0.143605148;0.150445521;0.147744651;-1;-1;0.21268361;0.210881263;0.211919019;-1;-1;2536.086825;5588.783929;4649.492512;-1;-1;22.21764655;32.31708628;28.58253329;-1;-1;13.3553829;20.69534413;18.05067534;-1;-1;0.605736803;0.638544697;0.629859237;-1;-1;0.689361169;0.716479317;0.707075258;-1;-1;0.146156356;0.149803758;0.148877263;-1;-1;0.210853951;0.209045029;0.209969816;-1;-1;2300;6200;5400;-1;-1;23;32;30;-1;-1;13;21;18;-1;-1
N995-10 HE - 2016-04-14 11.44.43;22528;20032;160;0.002155939;0.046204402;0;0.031310346;0.12019759;0.387802518;0.412329205;375.3501776;0.809232017;17.34283055;0;11.75234393;45.11618666;145.5617442;154.7678402;-1;3578.063221;3057.764582;3315.970337;1513.620402;-1;28.08211676;28.7119161;25.97485378;31.61592377;-1;15.97460773;16.67216486;16.30768732;18.8021021;-1;0.565889017;0.576462109;0.617859848;0.589825029;-1;0.648748057;0.659430918;0.702648598;0.673184531;-1;0.167991995;0.164816373;0.152428748;0.160182722;-1;0.260367818;0.251844773;0.218274982;0.239960324;-1;3569.307383;3099.661675;3193.590816;1315.007983;-1;28.14549474;28.36933971;25.6731648;31.25341091;-1;15.52873835;15.95900082;15.42742881;18.26460177;-1;0.555674593;0.565116639;0.608326467;0.577443033;-1;0.645624182;0.654438945;0.706085879;0.673237773;-1;0.168805889;0.165896543;0.150862636;0.159840105;-1;0.261869456;0.253751705;0.215309884;0.237247644;-1;3100;3100;3100;1100;-1;27;29;22;29;-1;15;15;14;19
N995-11 HE - 2016-09-16 18.39.45;21504;22208;160;0.009853675;0;0.002544926;0;0;0.403993021;0.583608379;397.2083567;3.913961861;0;1.010865893;0;0;160.4694038;231.8141251;3949.720407;5438.059929;5423.449898;-1;-1;28.75223051;40.8365994;40.73515412;-1;-1;18.34049027;26.96276013;26.89411847;-1;-1;0.63341925;0.654324147;0.65427433;-1;-1;0.69387197;0.689199528;0.689238026;-1;-1;0.14274814;0.157647804;0.157586053;-1;-1;0.207534654;0.229576727;0.229480112;-1;-1;3616.271954;5541.819358;5541.819358;-1;-1;28.40899143;39.94538438;39.879936;-1;-1;17.08095535;25.96412796;25.8913865;-1;-1;0.629566825;0.648258948;0.648134815;-1;-1;0.71352567;0.690294128;0.690320825;-1;-1;0.14398447;0.156983295;0.156933129;-1;-1;0.203146106;0.227822387;0.227707743;-1;-1;3500;6200;6200;-1;-1;24;39;37;-1;-1;16;24;24;-1;-1
N1020-10 HE - 2016-01-08 17.31.41;14336;13632;160;0.002584564;0;0.03150704;0;0.005018289;0.183959112;0.776930995;162.5463592;0.420111399;0;5.121354722;0;0.815704649;29.90188382;126.2873046;5579.960282;5421.762039;5340.305222;-1;1046.029078;33.84713047;40.24088461;38.81362305;-1;29.66987377;24.20228859;27.07409967;26.30712155;-1;14.76158164;0.697273785;0.672103596;0.674157597;-1;0.488087829;0.709858616;0.72364442;0.720126667;-1;0.677951298;0.150088791;0.152915567;0.152371752;-1;0.143043584;0.212098373;0.211985173;0.212358494;-1;0.216697178;5870.571354;5541.819358;5541.819358;-1;1033.220558;33.37492303;39.89847511;38.06877383;-1;29.69564121;23.67385412;26.74425294;26.3247649;-1;13.03857289;0.704352142;0.668714115;0.672353556;-1;0.466774004;0.714980531;0.72516914;0.721811581;-1;0.669962602;0.149998028;0.152644578;0.152375272;-1;0.146875328;0.211484394;0.212148303;0.212026073;-1;0.215147156;6100;5400;5400;-1;990;31;41;37;-1;30;22;25;25;-1;12
N1020-10_rk RCL1 Kinfix - 2016-07-19 12.11.33;7168;7040;160;0;0;0.031872975;0;0;0.33695106;0.631175965;41.97206458;0;0;1.337774554;0;0;14.14253166;26.49175837;5791.996014;3894.209824;4057.571732;-1;-1;35.6100016;32.89581199;33.09445044;-1;-1;24.33407942;21.50899663;21.72538646;-1;-1;0.671002993;0.650569904;0.651261671;-1;-1;0.716453916;0.728787479;0.727009792;-1;-1;0.145961062;0.149183746;0.148860178;-1;-1;0.204428234;0.205368199;0.205423275;-1;-1;6387.181633;3945.02395;3991.988521;-1;-1;31.39908871;32.54533781;32.33930481;-1;-1;19.94523948;20.93222825;20.8369642;-1;-1;0.681828691;0.642418021;0.645893313;-1;-1;0.722080722;0.731043499;0.729747236;-1;-1;0.144822017;0.148123171;0.147324003;-1;-1;0.200544963;0.201329591;0.201509546;-1;-1;3600;4000;4000;-1;-1;24;32;32;-1;-1;20;21;18;-1;-1
N1025-10_rk G2 Kinfix - 2016-07-19 12.13.18;10240;8896;160;0;0.028495876;0;0;0;0.394104103;0.577400021;75.76775295;0;2.159068523;0;0;0;29.86038229;43.74830214;-1;4707.885724;4493.479619;1777.297795;-1;-1;37.58002299;37.21106007;32.42362057;-1;-1;25.21811055;24.85955868;20.72613318;-1;-1;0.668963313;0.665752295;0.638644894;-1;-1;0.748598555;0.750951879;0.781045286;-1;-1;0.146202025;0.145626825;0.136766879;-1;-1;0.195906492;0.194629126;0.176574726;-1;-1;4743.421654;4649.492512;1784.653692;-1;-1;37.6454567;37.14647085;31.5121123;-1;-1;24.93941693;24.59907085;19.95047741;-1;-1;0.66269761;0.659044055;0.613405072;-1;-1;0.744980107;0.7472423;0.77437524;-1;-1;0.145855675;0.145489557;0.13985412;-1;-1;0.195964114;0.195165531;0.177878398;-1;-1;4900;4900;1600;-1;-1;36;36;31;-1;-1;24;24;20;-1
