cellType	collection	N	Tissue	Lineage1	Lineage2	Lineage	cellState	cellType_corr
BE2_C	encode_tfbs	1	Brain	Ectodermal	Ectodermal	Ectodermal	Malignant	Neuron
Gliobla	encode_tfbs	2	Brain	Ectodermal	Ectodermal	Ectodermal	Malignant	Astrocyte
NH-A	encode_tfbs	2	Brain	Ectodermal	Ectodermal	Ectodermal	Healthy	Astrocyte
PFSK-1	encode_tfbs	4	Brain	Ectodermal	Ectodermal	Ectodermal	Malignant	Neuron
SH-SY5Y	encode_tfbs	2	Brain	Ectodermal	Ectodermal	Ectodermal	Malignant	Neuron
SK-N-MC	encode_tfbs	2	Brain	Ectodermal	Ectodermal	Ectodermal	Malignant	Neuron
SK-N-SH	encode_tfbs	5	Brain	Ectodermal	Ectodermal	Ectodermal	Malignant	Neuron
SK-N-SH_RA	encode_tfbs	6	Brain	Ectodermal	Ectodermal	Ectodermal	Malignant	Neuron
U87	encode_tfbs	2	Brain	Ectodermal	Ectodermal	Ectodermal	Malignant	Astrocyte
Cervical cancer cells	codex	1	Cervix	Ectodermal	Ectodermal	Ectodermal	Malignant	Epithelial cell
HeLa-S3	encode_tfbs	64	Cervix	Ectodermal	Ectodermal	Ectodermal	Malignant	Epithelial cell
HCPEpiC	encode_tfbs	1	Choroid plexus	Ectodermal	Ectodermal	Ectodermal	Healthy	Epithelial cell
Caco-2	encode_tfbs	1	Colon	Endodermal	Endodermal	Endodermal	Malignant	Epithelial cell
HCT-116	encode_tfbs	6	Colon	Endodermal	Endodermal	Endodermal	Malignant	Epithelial cell
Endoderm	codex	2	Endoderm	Endodermal	Endodermal	Endodermal	In vitro	Endoderm
ECC-1	encode_tfbs	7	Endometrium	Mesodermal	Mesodermal	Mesodermal	Malignant	Epithelial cell
Endometrial Stromal Cell	codex	1	Endometrium	Mesodermal	Mesodermal	Mesodermal	Healthy	Stromal cell
Embryonic Stem Cell	codex	22	ESC	ESC	ESC	ESC	ESC	ESC
H1-hESC	encode_tfbs	58	ESC	ESC	ESC	ESC	ESC	ESC
HEEpiC	encode_tfbs	1	Esophagus	Endodermal	Endodermal	Endodermal	Healthy	Epithelial cell
WERI-Rb-1	encode_tfbs	1	Eye	Ectodermal	Ectodermal	Ectodermal	Malignant	Retina cell
AG09319	encode_tfbs	1	Gingiva	Mesenchymal	Mesodermal	Mesodermal	Healthy	Fibroblast
HCFaa	encode_tfbs	1	Heart	Mesodermal	Mesodermal	Mesodermal	Healthy	Fibroblast
HCM	encode_tfbs	1	Heart	Mesodermal	Mesodermal	Mesodermal	Healthy	Myocyte
Embryonic kidney cells	codex	4	Kidney	Mesodermal	Mesodermal	Mesodermal	Embryonic	EKC
HEK293	encode_tfbs	5	Kidney	Mesodermal	Mesodermal	Mesodermal	Transformed	EKC
HEK293-T-REx	encode_tfbs	1	Kidney	Mesodermal	Mesodermal	Mesodermal	Transformed	EKC
HRE	encode_tfbs	1	Kidney	Mesodermal	Mesodermal	Mesodermal	Healthy	Epithelial cell
HRPEpiC	encode_tfbs	1	Retina	Ectodermal	Ectodermal	Ectodermal	Healthy	Epithelial cell
RPTEC	encode_tfbs	1	Kidney	Mesodermal	Mesodermal	Mesodermal	Healthy	Epithelial cell
HepG2	encode_tfbs	76	Liver	Endodermal	Endodermal	Endodermal	Malignant	Liver cell
A549	encode_tfbs	35	Lung	Endodermal	Endodermal	Endodermal	Malignant	Epithelial cell
AG04450	encode_tfbs	1	Lung	Mesenchymal	Mesodermal	Mesodermal	Fetal	Fibroblast
HPF	encode_tfbs	1	Lung	Endodermal	Endodermal	Endodermal	Healthy	Fibroblast
IMR90	encode_tfbs	5	Lung	Endodermal	Endodermal	Endodermal	Fetal	Fibroblast
NHLF	encode_tfbs	3	Lung	Endodermal	Endodermal	Endodermal	Healthy	Fibroblast
SAEC	encode_tfbs	1	Lung	Endodermal	Endodermal	Endodermal	Healthy	Epithelial cell
WI-38	encode_tfbs	1	Lung	Endodermal	Endodermal	Endodermal	Embryonic	Fibroblast
HMEC	encode_tfbs	3	Mamma	Ectodermal	Ectodermal	Ectodermal	Healthy	Epithelial cell
HMF	encode_tfbs	1	Mamma	Mesenchymal	Mesodermal	Mesodermal	Healthy	Fibroblast
MCF-7	encode_tfbs	18	Mamma	Ectodermal	Ectodermal	Ectodermal	Malignant	Epithelial cell
MCF10A-Er-Src	encode_tfbs	14	Mamma	Ectodermal	Ectodermal	Ectodermal	Transformed	Epithelial cell
T-47D	encode_tfbs	7	Mamma	Ectodermal	Ectodermal	Ectodermal	Malignant	Epithelial cell
HSMM	encode_tfbs	2	Muscle	Mesodermal	Mesodermal	Mesodermal	Progenitor	Myocyte
HSMMtube	encode_tfbs	2	Muscle	Mesodermal	Mesodermal	Mesodermal	Progenitor	Myocyte
AoAF	encode_tfbs	1	Blood vessel	Mesodermal	Mesodermal	Mesodermal	Healthy	Fibroblast
Fibrobl	encode_tfbs	1	Skin	Mesenchymal	Mesodermal	Mesodermal	Healthy	Fibroblast
HA-sp	encode_tfbs	1	Spinal cord	Ectodermal	Ectodermal	Ectodermal	Healthy	Astrocyte
HAc	encode_tfbs	1	Cerebellum	Ectodermal	Ectodermal	Ectodermal	Healthy	Astrocyte
PANC-1	encode_tfbs	4	Pancreas	Endodermal	Endodermal	Endodermal	Malignant	Pancreatic carcinoma
HVMF	encode_tfbs	1	Placenta	Mesenchymal	Mesodermal	Mesodermal	Healthy	Fibroblast
AG04449	encode_tfbs	1	Skin	Mesenchymal	Mesodermal	Mesodermal	Fetal	Fibroblast
AG09309	encode_tfbs	1	Skin	Mesenchymal	Mesodermal	Mesodermal	Healthy	Fibroblast
AG10803	encode_tfbs	1	Skin	Mesenchymal	Mesodermal	Mesodermal	Healthy	Fibroblast
BJ	encode_tfbs	1	Skin	Mesenchymal	Mesodermal	Mesodermal	Healthy	Fibroblast
HFF	encode_tfbs	1	Skin	Mesenchymal	Mesodermal	Mesodermal	Healthy	Fibroblast
HFF-Myc	encode_tfbs	1	Skin	Mesenchymal	Mesodermal	Mesodermal	Transformed	Fibroblast
NHDF-Ad	encode_tfbs	2	Skin	Mesodermal	Mesodermal	Mesodermal	Healthy	Fibroblast
NHDF-neo	encode_tfbs	1	Skin	Mesodermal	Mesodermal	Mesodermal	Healthy	Fibroblast
NHEK	encode_tfbs	5	Skin	Ectodermal	Ectodermal	Ectodermal	Healthy	Keratinocyte
ProgFib	encode_tfbs	2	Skin	Ectodermal	Ectodermal	Ectodermal	Progeria	Fibroblast
NT2-D1	encode_tfbs	3	Testis	Embryonic carcinoma	Embryonic carcinoma	Embryonic carcinoma	Malignant	Pluripotent cell
