sample_name	BSF_name	flowcell	lane	cell_type	instrument_model	read_length	read_type	library	organism	data_source
N1180_10	EA001_002_N1180_10_AdelheidWoehrer	BSF_0170_C7WW9ACXX	6	NA	HiSeq_2000	50	single	RRBS	human	bsf_samples
N1317_12	EA001_006_N1317_12_AdelheidWoehrer	BSF_0170_C7WW9ACXX	6	NA	HiSeq_2000	50	single	RRBS	human	bsf_samples
N1020_10	EA001_008_N1020_10_AdelheidWoehrer	BSF_0170_C7WW9ACXX	6	NA	HiSeq_2000	50	single	RRBS	human	bsf_samples
N1916_12	EA001_010_N1916_12_AdelheidWoehrer	BSF_0170_C7WW9ACXX	6	NA	HiSeq_2000	50	single	RRBS	human	bsf_samples
N1279_07	EA001_015_N1279_07_AdelheidWoehrer	BSF_0170_C7WW9ACXX	6	NA	HiSeq_2000	50	single	RRBS	human	bsf_samples
N392_09	EA001_017_N392_09_AdelheidWoehrer	BSF_0170_C7WW9ACXX	6	NA	HiSeq_2000	50	single	RRBS	human	bsf_samples
N1_08	N1_08	BSF_0198_H5HG2BBXX	3	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1252_15A	N1252_15A	BSF_0198_H5HG2BBXX	3	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1221_15	N1221_15	BSF_0198_H5HG2BBXX	3	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1219_15	N1219_15	BSF_0198_H5HG2BBXX	3	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N669_06I	N669_06I	BSF_0198_H5HG2BBXX	3	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N669_06II	N669_06II	BSF_0198_H5HG2BBXX	3	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N861_08AII	N861_08AII	BSF_0198_H5HG2BBXX	3	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N861_08AIII	N861_08AIII	BSF_0198_H5HG2BBXX	3	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1677_06	N1677_06	BSF_0198_H5HG2BBXX	4	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N380_09B	N380_09B	BSF_0198_H5HG2BBXX	4	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1025_10	N1025_10	BSF_0198_H5HG2BBXX	4	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1197_15	N1197_15	BSF_0198_H5HG2BBXX	4	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N709_15	N709_15	BSF_0198_H5HG2BBXX	4	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1436_06	N1436_06	BSF_0198_H5HG2BBXX	4	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1199_15B	N1199_15B	BSF_0198_H5HG2BBXX	4	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N1218_15	N1218_15	BSF_0198_H5HG2BBXX	4	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N820_07CI	N820_07CI	BSF_0198_H5HG2BBXX	4	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
N820_07CIII	N820_07CIII	BSF_0198_H5HG2BBXX	4	NA	HiSeq_3000	50	single	RRBS	human	bsf_samples
